job_id,job_title,jobs_group,seniority,remote,company_clean,company,city,state_x,annual_low,annual_mean,annual_high,bls_occ_code,skills,skills_count,company_co,sector,sector_group,revenue_band,revenue_rank,employee_band,employee_rank,company_score,reviews_count,state_y,state_abbr,occ_title,total_employed,bls_annual_mean,bls_annual_median,bls_p10,bls_p90,state_name,pce_2023_in_millions
job_4eb3aec4ae2b0575,Controller,Controller,Unspecified,On-site,Carbon Robotics,Carbon Robotics,Seattle,WA,108162.0,140610.5,173059.0,11-3031,"['CPA', 'Artificial Intelligence', 'ERP', 'Bachelor']",4,Carbon Robotics,Machinery Manufacturing,Product Manufacturing,,,S,3.0,,,Washington,WA,Financial Managers,"12,640",187580.0,168120.0,106750.0,,Washington,472900.0
job_91763130d640fb13,Controller,Controller,Unspecified,On-site,Turning Point Consulting Group,Turning Point Consulting Group,Seattle,WA,135000.0,147500.0,160000.0,11-3031,"['CPA', 'Office', 'Bachelor']",3,Turning Point Consulting Group,Publishing Industry,Entertainment,,,,,5.0,3.0,Washington,WA,Financial Managers,"12,640",187580.0,168120.0,106750.0,,Washington,472900.0
job_787c6e7cf6db241c,Assistant Controller,Controller,Unspecified,On-site,Triad Financial Services Inc,Triad Financial Services Inc,Jacksonville,FL,112000.0,121000.0,130000.0,11-3031,['CPA'],1,Triad Financial Services Inc,Banking and Credit Services,Finance,S,3.0,M,4.0,3.3,42.0,Florida,FL,Financial Managers,"42,740",162180.0,135780.0,77490.0,,Florida,1361251.4
job_f70b2f17cb2de5ba,Finance & Accounting Manager,Financial Analyst,Lead,Hybrid,Urban Peace Institute,Urban Peace Institute,Los Angeles,CA,75000.0,82500.0,90000.0,13-2051,['Office'],1,Urban Peace Institute,,,,,,,,,California,CA,Financial and Investment Analysts,"35,660",125220.0,109080.0,67290.0,187990.4,California,2526290.3
job_f9dc06fd5e25a8d9,State Comptroller (Public Service Executive),Controller,Unspecified,On-site,State Of Iowa Talent Gateway,State of Iowa Talent Gateway,Johnston,IA,107536.0,137717.0,167898.0,11-3031,"['CPA', 'Office', 'Master']",3,State of Iowa Talent Gateway,Government and Public Administration,Government,,,XXXL,8.0,3.6,314.0,Iowa,IA,Financial Managers,"10,350",135300.0,126230.0,73360.0,213990.4,Iowa,153399.7
job_7b6704ab6392a175,Manufacturing Plant Accountant / Controller,Controller,Unspecified,On-site,Executive Viewpoint,Executive Viewpoint,Mitchell,IN,90000.0,110000.0,130000.0,11-3031,"['Office', 'SAP', 'Bachelor']",3,Executive Viewpoint,Metal and Mineral Manufacturing,Product Manufacturing,,,,,,,Indiana,IN,Financial Managers,"11,030",135840.0,125280.0,65500.0,212929.6,Indiana,339862.5
job_d2e8669605d88665,Accounting Manager (FT),Finance,Lead,On-site,Master'S Transportation,Master's Transportation,Belton,MO,90000.0,92500.0,95000.0,13-2051,"['Excel', 'CPA', 'Word', 'Bachelor', 'PowerPoint', 'CMA', 'Master']",7,Master's Transportation,Transportation and Logistics,Transportation and Logistics,,,,,2.8,5.0,Missouri,MO,Financial and Investment Analysts,"5,650",86310.0,79030.0,47910.0,130832.0,Missouri,322803.9
job_1f22a4a528f98427,CFO for CNY distribution company,CFO,Unspecified,On-site,"Bowers & Company Cpas, Pllc","Bowers & Company CPAs, PLLC",Watertown,NY,110000.0,130000.0,150000.0,11-3031,"['CPA', 'MBA', 'Office', 'Bachelor']",4,"Bowers & Company CPAs, PLLC",,,XS,2.0,S,3.0,4.3,13.0,New York,NY,Financial Managers,"62,800",241150.0,215430.0,111090.0,,New York,1248145.3
job_e0e24c5c9fa63586,Senior Accounting Manager,Finance,Senior,On-site,Solco Biomedical Corp.,Solco Biomedical Corp.,Plano,TX,70000.0,85000.0,100000.0,13-2051,"['English', 'Master', 'Office', 'Bachelor']",4,Solco Biomedical Corp.,Healthcare Product Manufacturing,Product Manufacturing,,,,,,,Texas,TX,Financial and Investment Analysts,"25,100",102590.0,87950.0,57590.0,138736.0,Texas,1595277.8
job_f44a23280dd5126e,Controller,Controller,Unspecified,On-site,Project Self-Sufficiency,Project Self-Sufficiency,Newton,NJ,100000.0,112500.0,125000.0,11-3031,"['CPA', 'Master', 'Office', 'Bachelor']",4,Project Self-Sufficiency,Community Services,Government,XXS,1.0,XS,2.0,,,New Jersey,NJ,Financial Managers,"34,530",208370.0,185430.0,127660.0,,New Jersey,592882.2
job_0f21e95fa8e054f2,Accounting Manager,Finance,Lead,Remote,Distinct,Distinct,Boston,MA,100000.0,115000.0,130000.0,13-2051,['Office'],1,Distinct,Finance,Finance,,,,,5.0,3.0,Massachusetts,MA,Financial and Investment Analysts,"16,840",127760.0,103240.0,66270.0,209497.6,Massachusetts,483803.1
job_4e9e8e69dc867a3c,Controller,Controller,Unspecified,On-site,"L&W Wei, Lp","L&W Wei, LP",Dallas-Fort Worth,TX,94000.0,97000.0,100000.0,11-3031,"['CPA', 'Office', 'Bachelor']",3,"L&W Wei, LP",,,,,,,,,Texas,TX,Financial Managers,"63,800",170970.0,155380.0,79830.0,,Texas,1595277.8
job_ee970c3e2e92413f,Director of Finance and Grants Manager,CFO,Lead,On-site,South Shore Chamber Of Commerce,South Shore Chamber of Commerce,Chicago,IL,90000.0,90000.0,90000.0,11-3031,"['Excel', 'CPA', 'Master']",3,South Shore Chamber of Commerce,NGOs and Nonprofit Organizations,Nonprofit Organizations,,,,,4.0,1.0,Illinois,IL,Financial Managers,"48,810",173210.0,149900.0,85360.0,,Illinois,732059.2
job_ce653f1a0fd5ce2d,"Director of Finance / Financial Controller, Construction Industry",Controller,Lead,On-site,"B. T. Mancini Co., Inc.","B. T. Mancini Co., Inc.",Sacramento,CA,120000.0,127500.0,135000.0,11-3031,"['CPA', 'Office', 'CMA', 'Bachelor']",4,"B. T. Mancini Co., Inc.",,,,,,,4.5,6.0,California,CA,Financial Managers,"97,400",196670.0,169780.0,96170.0,,California,2526290.3
job_a86740fe9e56e3da,Senior Manager/Director of Accounting and Operations,CFO,Senior,Remote,"Performance Realty, Inc","Performance Realty, Inc",Saint Anthony,MN,120000.0,128750.0,137500.0,11-3031,"['CPA', 'Office', 'Bachelor']",3,"Performance Realty, Inc",,,,,,,,,Minnesota,MN,Financial Managers,"16,400",165340.0,151000.0,91840.0,,Minnesota,324127.6
job_34d4363987cf3b67,Treasurer/Collector,Finance,Unspecified,On-site,Town Of Harwich,Town of Harwich,Harwich,MA,88056.0,98947.0,109838.0,13-2051,"['Office', 'Bachelor']",2,Town of Harwich,Municipal Agencies,Government,,,,,4.0,2.0,Massachusetts,MA,Financial and Investment Analysts,"16,840",127760.0,103240.0,66270.0,209497.6,Massachusetts,483803.1
job_ef528f9ef1c2008f,Controller,Controller,Unspecified,On-site,Prg Management,PRG Management,Chicago,IL,85000.0,95000.0,105000.0,11-3031,"['Office', 'Bachelor']",2,PRG Management,Real Estate,Real Estate,,,XS,2.0,4.2,6.0,Illinois,IL,Financial Managers,"48,810",173210.0,149900.0,85360.0,,Illinois,732059.2
job_392f61d0046843a0,Controller,Controller,Unspecified,On-site,Cristo Rey San Jose Jesuit High School,Cristo Rey San Jose Jesuit High School,San Jose,CA,115000.0,125000.0,135000.0,11-3031,"['Spanish', 'English', 'Office', 'Bachelor']",4,Cristo Rey San Jose Jesuit High School,Education,Education,,,,,,,California,CA,Financial Managers,"97,400",196670.0,169780.0,96170.0,,California,2526290.3
job_f254926c4f915319,Chief Financial Officer,CFO,Lead,On-site,"Beaverbrook Step, Inc.","Beaverbrook STEP, Inc.",Watertown,MA,130000.0,130000.0,130000.0,11-3031,"['Dynamics 365', 'Office']",2,"Beaverbrook STEP, Inc.",Community Services,Government,,,,,,,Massachusetts,MA,Financial Managers,"31,370",192040.0,169870.0,96750.0,,Massachusetts,483803.1
job_69cb5669f6942c2e,Treasurer-Tax Collector Administrator,Finance,Unspecified,On-site,Alameda County,Alameda County,Oakland,CA,113402.0,126890.5,140379.0,13-2051,['Office'],1,Alameda County,Government and Public Administration,Government,XL,6.0,XXL,7.0,3.8,162.0,California,CA,Financial and Investment Analysts,"35,660",125220.0,109080.0,67290.0,187990.4,California,2526290.3
job_791f5ee49cf68a58,Assistant Controller,Controller,Unspecified,On-site,Lewis Tree Service Inc.,Lewis Tree Service Inc.,West Henrietta,NY,120000.0,130000.0,140000.0,11-3031,"['CPA', 'Office', 'Bachelor']",3,Lewis Tree Service Inc.,Forestry and Woodworking,Agrarian,M,4.0,XL,6.0,3.7,108.0,New York,NY,Financial Managers,"62,800",241150.0,215430.0,111090.0,,New York,1248145.3
job_5c3748b5da46eb6b,Financial Controller,Controller,Unspecified,Remote,Smoothie King #986 - Canton,Smoothie King #986 - Canton,Canton,GA,33120.0,36800.0,40480.0,11-3031,['Excel'],1,Smoothie King #986 - Canton,Restaurants and Food Services,Restaurants and Food Services,M,4.0,,,3.6,2322.0,Georgia,GA,Financial Managers,"21,770",178980.0,159620.0,84370.0,,Georgia,554573.4
job_46968815d57924be,Controller,Controller,Unspecified,On-site,Sterling Healthcare Management,Sterling Healthcare Management,South Bend,IN,115000.0,130000.0,145000.0,11-3031,"['CPA', 'Office']",2,Sterling Healthcare Management,Nursing Homes and Retirement Homes,Childcare and Elderly Care,,,,,5.0,2.0,Indiana,IN,Financial Managers,"11,030",135840.0,125280.0,65500.0,212929.6,Indiana,339862.5
job_e2bdd89ca26c9c6a,Financial Controller,Controller,Unspecified,Remote,Smoothie King #1552 - Atlanta,Smoothie King #1552 - Atlanta,Atlanta,GA,33120.0,36800.0,40480.0,11-3031,['Excel'],1,Smoothie King #1552 - Atlanta,Restaurants and Food Services,Restaurants and Food Services,M,4.0,,,3.6,2322.0,Georgia,GA,Financial Managers,"21,770",178980.0,159620.0,84370.0,,Georgia,554573.4
job_321902319c50905e,Assistant Controller,Controller,Unspecified,Remote,Prime General Llc,Prime General LLC,Hollywood,FL,90000.0,105000.0,120000.0,11-3031,"['Excel', 'CPA', 'Word', 'CMA', 'Master']",5,Prime General LLC,Real Estate Management,Real Estate,,,,,5.0,2.0,Florida,FL,Financial Managers,"42,740",162180.0,135780.0,77490.0,,Florida,1361251.4
job_6dc288a50af84017,Senior Accountant/Accounting Manager,Finance,Senior,On-site,Health Operation Solutions,Health Operation Solutions,Scottsdale,AZ,80000.0,90000.0,100000.0,13-2051,"['Office', 'ERP']",2,Health Operation Solutions,Healthcare,Health,,,,,,,Arizona,AZ,Financial and Investment Analysts,"6,260",101630.0,81560.0,57820.0,132912.0,Arizona,400704.5
job_27676edb86cde880,Area Director of Finance,CFO,Lead,On-site,Aparium Hotel Group,Aparium Hotel Group,Denver,CO,130000.0,140000.0,150000.0,11-3031,"['Master', 'Bachelor']",2,Aparium Hotel Group,Tourism and Accommodation,Tourism and Accommodation,,,XL,6.0,3.1,75.0,Colorado,CO,Financial Managers,"10,700",190270.0,168410.0,110290.0,,Colorado,374880.1
job_f007537ad40f559b,Senior Corporate Controller,Controller,Senior,Remote,The Pickleball Club Llc,The Pickleball Club LLC,Sarasota,FL,80000.0,95000.0,110000.0,11-3031,"['CPA', 'Office']",2,The Pickleball Club LLC,,,,,,,,,Florida,FL,Financial Managers,"42,740",162180.0,135780.0,77490.0,,Florida,1361251.4
job_36bdb6aefcf12263,"Project Accounting Manager, Efficiency Solutions Practice",Finance,Lead,On-site,Mantis Innovation Llc,MANTIS INNOVATION LLC,Denver,CO,100000.0,115000.0,130000.0,13-2051,"['Excel', 'CPA', 'Master', 'Bachelor']",4,MANTIS INNOVATION LLC,,,,,,,,,Colorado,CO,Financial and Investment Analysts,"8,460",113480.0,97570.0,60970.0,170872.0,Colorado,374880.1
job_5716183235484027,Comptroller - Division Program Coordinator,Controller,Unspecified,Hybrid,Comptroller Of Public Accounts,COMPTROLLER OF PUBLIC ACCOUNTS,Austin,TX,69996.0,75000.0,80004.0,11-3031,"['Excel', 'CPA', 'Salesforce', 'Word', 'Office', 'Bachelor', '.NET']",7,COMPTROLLER OF PUBLIC ACCOUNTS,State and Regional Agencies,Government,,,XXXL,8.0,3.6,64.0,Texas,TX,Financial Managers,"63,800",170970.0,155380.0,79830.0,,Texas,1595277.8
job_75b0f087650bdfcb,Director of Finance,CFO,Lead,On-site,One For Israel,One For Israel,Grapevine,TX,115000.0,115000.0,115000.0,11-3031,"['CPA', 'MBA', 'Office', 'Bachelor']",4,One For Israel,Religious Institutions,Religion,,,XS,2.0,,,Texas,TX,Financial Managers,"63,800",170970.0,155380.0,79830.0,,Texas,1595277.8
job_44bd722975244e0b,Accounting Manager,Finance,Lead,On-site,Lite Coms Llc,Lite Coms LLC,Victor,NY,70000.0,82500.0,95000.0,13-2051,"['CPA', 'Office']",2,Lite Coms LLC,Aerospace and Defense,Government,,,,,,,New York,NY,Financial and Investment Analysts,"49,220",143330.0,125110.0,77200.0,221873.6,New York,1248145.3
job_ce11cc86aef61f42,Chief Financial Officer,CFO,Lead,On-site,Southern Roots Nut Company Llc,Southern Roots Nut Company LLC,Las Cruces,NM,90000.0,115000.0,140000.0,11-3031,"['CPA', 'Office']",2,Southern Roots Nut Company LLC,Food and Beverage Production,Food and Beverage,,,,,,,New Mexico,NM,Financial Managers,"2,590",128820.0,115000.0,77950.0,197433.6,New Mexico,97420.9
job_1e9d2c76651a7a90,Plant Controller,Controller,Unspecified,On-site,Texmo Precision Castings,Texmo Precision Castings,Warsaw,IN,95000.0,107500.0,120000.0,11-3031,"['Excel', 'Office']",2,Texmo Precision Castings,Metal and Mineral Manufacturing,Product Manufacturing,,,,,4.4,9.0,Indiana,IN,Financial Managers,"11,030",135840.0,125280.0,65500.0,212929.6,Indiana,339862.5
job_e7912930eb6ba834,Chief Financial Officer,CFO,Lead,On-site,Aspiranet.Org,Aspiranet.org,South San Francisco,CA,200000.0,225000.0,250000.0,11-3031,"['CPA', 'MBA', 'Office', 'Bachelor']",4,Aspiranet.org,NGOs and Nonprofit Organizations,Nonprofit Organizations,S,3.0,L,5.0,3.2,204.0,California,CA,Financial Managers,"97,400",196670.0,169780.0,96170.0,,California,2526290.3
job_5a4e1c70a7ac7ac7,"Property Controller, Commercial Properties",Controller,Unspecified,On-site,Soar Real Estate,Soar Real Estate,Melville,NY,90000.0,102500.0,115000.0,11-3031,"['Office', 'Bachelor']",2,Soar Real Estate,Real Estate,Real Estate,,,,,,,New York,NY,Financial Managers,"62,800",241150.0,215430.0,111090.0,,New York,1248145.3
job_e59a0a9fc163e7a2,Financial Controller,Controller,Unspecified,Remote,Smoothie King #1604 - Chamblee,Smoothie King #1604 - Chamblee,Chamblee,GA,33120.0,36800.0,40480.0,11-3031,['Excel'],1,Smoothie King #1604 - Chamblee,Restaurants and Food Services,Restaurants and Food Services,M,4.0,,,3.6,2322.0,Georgia,GA,Financial Managers,"21,770",178980.0,159620.0,84370.0,,Georgia,554573.4
job_b6555d0709c32d35,"Assistant Controller from $ 70,000 DOE",Controller,Unspecified,On-site,General Engineer,General Engineer,Redding,CA,70000.0,70000.0,70000.0,11-3031,"['Office', 'Bachelor']",2,General Engineer,,,,,,,,,California,CA,Financial Managers,"97,400",196670.0,169780.0,96170.0,,California,2526290.3
job_7d2cb82e3d7afecb,Accountant / Controller,Controller,Unspecified,On-site,Imi Norgren,IMI Norgren,Farmington,CT,64400.0,69920.0,75440.0,11-3031,"['Office', 'ERP', 'Bachelor']",3,IMI Norgren,Machinery Manufacturing,Product Manufacturing,,,,,3.3,62.0,Connecticut,CT,Financial Managers,"19,440",178340.0,162260.0,90630.0,,Connecticut,235580.4
job_0f23e45350b94e9f,Finance Controller,Controller,Unspecified,Remote,Smoothie King #913 - Hapeville,Smoothie King #913 - Hapeville,Hapeville,GA,33120.0,36800.0,40480.0,11-3031,['Excel'],1,Smoothie King #913 - Hapeville,Restaurants and Food Services,Restaurants and Food Services,M,4.0,,,3.6,2322.0,Georgia,GA,Financial Managers,"21,770",178980.0,159620.0,84370.0,,Georgia,554573.4
job_ba925280d777f7e9,Accounting Manager/Internal Controller,Controller,Lead,Remote,Art F/X Screenprinting & Embroidery,Art F/X Screenprinting & Embroidery,Lincoln,NE,65000.0,70000.0,75000.0,11-3031,"['CPA', 'MBA', 'Office', 'Bachelor']",4,Art F/X Screenprinting & Embroidery,,,,,,,,,Nebraska,NE,Financial Managers,"5,580",143490.0,132510.0,81040.0,217630.4,Nebraska,103226.1
job_337010d48d98cd6c,Assistant Controller,Controller,Unspecified,On-site,Penn Hiring,Penn Hiring,Columbus,OH,75000.0,82500.0,90000.0,11-3031,"['Excel', 'CPA', 'Word', 'Office', 'Bachelor', 'Oracle']",6,Penn Hiring,Construction,Construction,,,,,,,Ohio,OH,Financial Managers,"28,650",149310.0,131610.0,75630.0,230318.4,Ohio,596162.7
job_8ab9328d96e8dc19,Controller Assistant,Controller,Unspecified,On-site,Bsa Technologies,BSA Technologies,Arcola,IL,55000.0,60500.0,66000.0,11-3031,"['Excel', 'Office', 'Bachelor']",3,BSA Technologies,,,,,,,,,Illinois,IL,Financial Managers,"48,810",173210.0,149900.0,85360.0,,Illinois,732059.2
job_5edb9bbd3dcdec50,Chief Financial Officer (FT),CFO,Lead,On-site,Ajrtrucking,AJRTrucking,Long Beach,CA,190000.0,205000.0,220000.0,11-3031,"['CPA', 'MBA', 'Office', 'Bachelor', 'Master']",5,AJRTrucking,,,,,,,,,California,CA,Financial Managers,"97,400",196670.0,169780.0,96170.0,,California,2526290.3
job_28a3447480f690a7,Director of Finance,CFO,Lead,Remote,Elder Care Homecare-Nyc,Elder Care Homecare-NYC,Scarsdale,NY,100000.0,110000.0,120000.0,11-3031,"['CPA', 'Master', 'Bachelor']",3,Elder Care Homecare-NYC,,,,,,,,,New York,NY,Financial Managers,"62,800",241150.0,215430.0,111090.0,,New York,1248145.3
job_491fd1223d23465c,Vice President & Corporate Controller,Controller,Unspecified,On-site,Solstice Consulting Group,Solstice Consulting Group,Fort Worth,TX,240000.0,240000.0,240000.0,11-3031,"['CPA', 'MBA', 'Bachelor', 'SSIS', 'ERP']",5,Solstice Consulting Group,Electricity and Public Utilities,Government,,,,,,,Texas,TX,Financial Managers,"63,800",170970.0,155380.0,79830.0,,Texas,1595277.8
job_cfe3160c3a1ef78e,Chief Financial Officer,CFO,Lead,On-site,Servpro Of East York/Western Lancaster County,SERVPRO of East York/Western Lancaster County,Elizabethtown,PA,95000.0,107500.0,120000.0,11-3031,"['CPA', 'MBA', 'Office', 'Bachelor']",4,SERVPRO of East York/Western Lancaster County,,,,,,,,,Pennsylvania,PA,Financial Managers,"27,660",157290.0,137770.0,79930.0,,Pennsylvania,738929.8
